1	3	 Department	Denver	Saudi Arabia	1972-07-19 10:24:36.2403573	0	203	2009-04-11 22:37:13.6034394	1	92 South Green Fabien Street	727	79699
2	1	3rd Floor	Columbus	Kazakhstan	2001-03-30 11:08:57.1652536	1	781	1993-06-28 15:14:42.3760482	2	29 East First Road	818	11252
3	3	Appartment 2	Norfolk	Greece	1954-09-23 14:21:07.4736695	1	181	1961-01-02 16:46:30.4533563	1	77 East Clarendon St.	769	41033
4	3	Customer Group	Richmond	Virgin Islands	1965-05-13 11:07:28.8641433	1	982	2006-10-28 14:22:44.3797622	2	570 Oak Street	559	44009
5	2	Hamilton Building	Greensboro	Greenland	2003-10-27 03:20:35.8858388	1	228	1962-01-08 16:45:14.4034771	1	89 East Clarendon Parkway	207	86674
6	3	Appartment 245	San Diego	Tuvalu	2004-10-12 18:20:45.9769780	1	797	1980-04-15 04:36:38.4542134	2	500 Clarendon St.	4	38936
7	3	Appartment 42	San Diego	Lithuania	2014-12-04 04:01:33.5951404	1	825	1972-06-17 10:42:38.0520720	1	136 West First Drive	907	
8	2		Rochester	China	1996-09-25 04:55:56.8314754	1	877	1964-09-08 05:00:44.2419463	2	113 White Hague Road	443	47285
9	2	1st Floor	Houston	Canada	1971-04-06 20:00:05.6655966	1	295	1995-04-18 03:53:29.1710932	1	380 White Cowley Parkway	978	51186
10	1	978th Floor	Fort Wayne	Guatemala	1999-07-12 18:59:36.7197584	1	619	2006-05-29 13:48:45.0699618	2	714 Second St.	274	17655
11	3	 Group	Glendale	Nicaragua	1978-02-05 19:32:45.8779501	1	925	1991-09-16 15:14:40.0486016	1	846 White Hague St.	292	97940
12	2	Madison Building	Denver	Argentina	2006-04-03 19:13:18.6147576	1	46	1963-08-30 03:34:03.5375035	2	31 Oak Street	468	44762
13	2	Appartment 2	Corpus Christi	Greenland	1954-04-14 05:13:43.5536722	1	514	1958-04-27 19:23:43.0938089	1	38 Milton Freeway	633	80489
14	2	APT 845	Shreveport	French Guiana	2005-08-03 08:06:55.7851384	1	214	1977-02-23 21:19:46.6006001	2	68 Milton Freeway	470	56915
15	3	Suite 81	Hialeah	Malvinas	1969-05-24 22:51:26.3442179	0	524	1975-11-12 20:33:08.2672356	1	107 North Nobel Way	983	00925
16	2	Suite 51	Sacramento	Antarctica	1995-11-21 08:54:16.5431774	1	10	1987-09-14 06:07:16.6775050	2	60 New Road	31	08334
17	3	3rd Floor	Newark	Zambia	1979-09-01 22:03:58.0332124	0	611	1996-07-28 03:13:29.6638092	1	56 Green Milton Freeway	863	29693
18	3	Suite 9225	Baton Rouge	Guernsey	2016-02-09 14:34:14.2372964	1	83	2007-01-16 16:47:05.2004220	2	77 South White Old Avenue	996	18979
19	2	After Sales Department	Fresno	Lithuania	1987-06-27 15:54:58.2190712	1	1000	1992-09-29 05:25:15.5182154	1	982 White Nobel St.	678	83800
20	1	Suite 4	Fremont	Guinea	2001-06-17 06:50:17.7455822	1	16	2011-12-04 07:25:59.7638984	2	26 East White Hague Blvd.	315	77113
21	1	Wilson Building	Austin	Iran	1988-01-04 19:39:16.4454558	1	518	2013-10-26 14:02:25.3463416	1	888 West Rocky Nobel Drive	817	32906
22	2	Appartment 44	Lincoln	Australia	1972-05-24 04:42:36.5030863	1	135	1955-04-21 02:22:28.1552074	2	59 Rocky Clarendon Boulevard	849	05655
23	3	Appartment 950	Tampa	Puerto Rico	2011-02-24 04:04:18.1806892	1	655	1979-03-25 13:38:05.9634702	1	747 Green Cowley Road	992	85280
24	3	Appartment 83	Lincoln	Canada	1985-12-28 23:51:05.0850174	0	638	1989-02-07 00:51:42.5734766	2	252 White Clarendon Blvd.	33	93133
25	2	Appartment 73	Charlotte	Jordan	1988-06-21 10:08:12.2645634	1	832	2007-07-05 15:12:33.2420876	1	73 Green Nobel Avenue	700	89746
26	3	APT 96	Dallas	Pitcairn	1976-05-31 12:33:56.9368705	1	127	1971-11-08 10:17:12.6866576	2	60 West Oak Blvd.	527	71666
27	3	After Sales Department	Glendale	San Marino	1993-12-07 02:28:30.9956858	1	134	1966-09-10 20:21:09.1395326	1	77 Oak Blvd.	935	10257
28	2	APT 5	Chicago	New Caledonia	1970-02-09 07:42:54.0154888	0	651	1960-12-19 15:32:13.2107432	2	56 South Rocky Nobel St.	688	03782
29	1	APT 427	El Paso	Liberia	2002-11-09 10:53:24.1085962	1	904	1991-10-05 22:29:32.2229202	1	80 Milton Blvd.	547	68742
30	2	962th Floor	Washington	Zambia	2004-07-19 15:35:35.5425366	1	64	1966-09-28 11:55:06.1437985	2	16 Fabien Parkway	82	99862
